Questions,Answers,Context Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 When does the manual SNPN selection mode procedure for user reselection take place?,The manual SNPN selection mode procedure of clause 4.9.3.1.2 is followed during user reselection.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" In what cases does an ""No SIM"" state occur, and what actions are taken in this state?","An ""No SIM"" state occurs when specific conditions are met, such as authentication failures or ""illegal ME"" or ""illegal UE"" responses. In this state, the MS may perform SNPN selection for onboarding services in SNPN, but no further attempts at registration on any SNPN are made until certain events occur, such as switching off and on again, updating ""list of subscriber data,"" or inserting the USIM.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of the Location Registration (LR) process in a mobile communication system?,"The Location Registration (LR) process in a mobile communication system serves to update the network with the current location of a mobile device. It involves tasks such as cell selection, registration area updates, and PLMN selection.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Why might a mobile device enter the ""Roaming not allowed"" state during Location Registration?"," A mobile device may enter the ""Roaming not allowed"" state during Location Registration due to reasons such as the PLMN not being allowed, the Location Area (LA) or Tracking Area (TA) being restricted, or the device not being authorized for a specific Closed Subscriber Group (CSG).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the LR Process States and Allowed Actions table, what actions are allowed when the mobile device is in the ""Updated"" state?","In the ""Updated"" state, the mobile device is allowed to change cells, change registration areas, change PLMN, and perform other supported actions. Normal calls and paging responses are also supported in this state.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What are the conditions under which the ""Idle, No IMSI"" state is entered for GPRS and non-GPRS services?","The ""Idle, No IMSI"" state is entered based on specified conditions, as outlined in clause 4.3.3. These conditions may vary for GPRS and non-GPRS services, and the details are specified in the protocol.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Explain the steps involved in the Overall Idle Mode process as depicted in Figure 1.,"The Overall Idle Mode process involves steps such as setting the PLMN selection mode, presenting available PLMNs to the user, manual PLMN selection, and CSG-related procedures if the device supports CSGs. It culminates in cell selection, location registration, and potential LR attempts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the goal of the PLMN selection process for a multi-mode MS supporting access technologies defined by both 3GPP and 3GPP2?,The goal is to find the highest priority PLMN and attempt to register to it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" In the context of HPLMN matching criteria, what is the significance of the hexadecimal code ""F"" in the 3rd digit of the BCCH-MNC for PCS1900 in North America?","If the 3rd digit is Hex F, it indicates a transition period, and further matching criteria are applied according to the rules specified.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Explain the process for HPLMN matching criteria in mobiles that don't support PCS1900 for North America.,"Compare all 3 digits of the SIM-MCC with the BCCH-MCC. If they don't match, the HPLMN match fails. Read the 3rd digit of the BCCH-MNC. If it is Hex F, proceed to step (4). Compare all 3 digits of the SIM-MNC with the BCCH-MNC. If they match, the HPLMN match succeeds; otherwise, it fails. Compare just the 1st 2 digits of the SIM-MNC with the BCCH-MNC. If they match, the HPLMN match succeeds; otherwise, it fails.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What additional step is involved in the HPLMN matching criteria for mobiles supporting PCS1900 for North America?,"4.1 Determine if the BCCH-MCC lies in the range 310-316 (PCS1900 for NA network). 4.2 If outside the range, proceed to step (6). 4.3 Compare the 3rd digit of the SIM-MNC with '0'. If not '0', the HPLMN match fails. 4.4 Compare just the 1st 2 digits of the SIM-MNC with the BCCH-MNC. If they match, the HPLMN match succeeds; otherwise, it fails.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When does an MS consider the VPLMN and a PLMN to be of the same country while roaming?,"While roaming on a VPLMN, the VPLMN and a PLMN are considered of the same country only if their MCC values identify the same country.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What guidelines are provided for networks in PCS1900 for North America during the transition period from broadcasting 2 MNC digits to broadcasting 3 MNC digits?,Existing network codes using a 2-digit BCCH-MNC (xy) should use the new code xy0.New operators allocated 3-digit MNC codes with the same 1st 2 digits as an existing operator should not use a 3rd digit of 0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 What is the purpose of the control plane solution for steering of roaming in 5GS procedure in a PLMN?,"The purpose of the control plane solution for steering of roaming in 5GS procedure in a PLMN is to allow the HPLMN to update one or more of the following via NAS signaling: a) the ""Operator Controlled PLMN Selector with Access Technology"" list in the UE; b) the SOR-CMCI (Steering of Roaming Connected Mode Control Information); c) the SOR-SNPN-SI (Steering of Roaming Selected Network Public Name - Slice Information) associated with the selected PLMN subscription in the Mobile Equipment (ME); d) the SOR-SNPN-SI-LS (Steering of Roaming Selected Network Public Name - Slice Information - Location Service) associated with the selected PLMN subscription in the ME; e) the SOR-SENSE (Operator controlled signal threshold per access technology);f) the slice-based PLMN selection information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under what conditions can the HPLMN provide the steering of roaming information to the UE during initial registration in a VPLMN?," If the UE's USIM is configured to indicate that the UE is expected to receive the steering of roaming information during the initial registration procedure in a VPLMN, and if such configuration is provided in the USIM, then it is mandatory for the HPLMN to provide the steering of roaming information to the UE during initial registration in a VPLMN. If such configuration is not provided in the USIM, it is optional for the HPLMN to provide the steering of roaming information to the UE during initial registration, based on operator policy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What role does the SOR-CMCI (Steering of Roaming Connected Mode Control Information) play in the control plane solution for steering of roaming in 5GS?,"The SOR-CMCI enables the HPLMN to control the timing of a UE in 5GS connected mode to move to idle mode for performing the steering of roaming. The UE shall support the SOR-CMCI, and the HPLMN may configure it in the UE or send it over N1 NAS signaling. The SOR-CMCI received over N1 NAS signaling takes precedence over the SOR-CMCI configured in the UE. The HPLMN can consider user preferences for services not to be interrupted due to steering of roaming when setting the SOR-CMCI.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of the SOR-SNPN-SI-LS (Steering of Roaming Selected Network Public Name - Slice Information - Location Service)?,"The SOR-SNPN-SI-LS is used to support access to an SNPN providing access for localized services in SNPN. If the UE supports access to an SNPN using credentials from a credentials holder, the UE shall indicate ME's support for SOR-SNPN-SI-LS to the HPLMN or subscribed SNPN. The HPLMN or subscribed SNPN can use the SOR-SNPN-SI-LS to update the selected entry of ""list of subscriber data"" or the selected PLMN subscription in the ME, based on policies related to the registered SNPN, the location of the UE, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When does the UE remove a PLMN from the list of ""PLMNs where registration was aborted due to SOR""?","The UE removes a PLMN from the list of ""PLMNs where registration was aborted due to SOR"" if the UE receives steering of roaming information in the REGISTRATION ACCEPT or DL NAS TRANSPORT message, and the security check to verify that the steering of roaming information is provided by HPLMN is successful. The UE deletes the list when the MS is switched off, the USIM is removed, or after a UE implementation-dependent time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the procedure for providing the list of preferred PLMN/access technology combinations and the SOR-CMCI during registration in VPLMN?,"The procedure involves the UE initiating initial registration, emergency registration, or registration procedure for mobility and periodic registration update to the VPLMN AMF. The AMF provides the registration type to the UDM, and based on operator policies, the HPLMN UDM may provide the list of preferred PLMN/access technology combinations and the SOR-CMCI to the UE. The UE then performs registration with the VPLMN, considering the provided steering of roaming information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under what conditions does the HPLMN provide the steering of roaming information to the UE during initial registration in a VPLMN?," If the user subscription information indicates to send the steering of roaming information due to initial registration in a VPLMN, then the HPLMN UDM shall provide the steering of roaming information to the UE during initial registration in a VPLMN. Otherwise, the HPLMN UDM may provide the steering of roaming information to the UE based on operator policy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What are the conditions under which the secured packet obtained by the UDM can include SOR-CMCI?," The secured packet obtained by the UDM can include SOR-CMCI only if the ""ME support of SOR-CMCI"" indicator is stored for the UE, and the USIM of the indicated SUPI supports SOR-CMCI.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the communication between the HPLMN UDM and the SOR-AF, what information is exchanged in the Nsoraf_SoR_Get request?","The HPLMN UDM sends an Nsoraf_SoR_Get request to the SOR-AF, including the VPLMN ID, SUPI of the UE, and access type parameters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What actions does the SOR-AF take in response to the Nsoraf_SoR_Get request from the HPLMN UDM?,"The SOR-AF responds with an Nsoraf_SoR_Get response, including the list of preferred PLMN/access technology combinations, SOR-CMCI (if any), and the ""Store SOR-CMCI in ME"" indicator or the secured packet, based on operator-specific criteria.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When does the HPLMN UDM form the steering of roaming information, and what parameters does it use?","The HPLMN UDM forms the steering of roaming information in step 3d, using the list of preferred PLMN/access technology combinations, SOR-CMCI (if any), and the ""Store SOR-CMCI in ME"" indicator obtained in step 3a or 3c.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the registration procedure, what role does the VPLMN AMF play in handling the steering of roaming information?","As part of the registration procedure, the VPLMN AMF receives the steering of roaming information from the HPLMN UDM, includes it in the Access and Mobility Subscription data, and subscribes to changes in the subscription data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What actions does the UE take if the steering of roaming information contains a secured packet?,"If the steering of roaming information contains a secured packet, the UE may upload the secured packet to the USIM, and if applicable, handle USAT REFRESH commands based on the SOR-CMCI and perform actions specified in clause 4.4.6.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 When does the UE acknowledge the successful security check of the received steering of roaming information?,"The UE acknowledges the successful security check in the Nudm_SDM_Get response service operation, and the acknowledgment may be requested by the HPLMN UDM based on its policy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does the UE handle the steering of roaming information if a higher priority PLMN is detected?,"If a higher priority PLMN is detected and the UE is in automatic network selection mode, it may release the current N1 NAS signaling connection locally and attempt to obtain service on the higher priority PLMN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What steps does the UE take if the steering of roaming information is received during initial registration in a VPLMN?," During initial registration in a VPLMN, the UE may follow steps specified in clause 4.4.3.3, and if applicable, acknowledge the successful security check as part of the Nudm_SDM_Get response.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 What actions does the HPLMN UDM take when providing information to the SOR-AF in Nsoraf_SoR_Info?,"The HPLMN UDM may include relevant indicators such as ""ME support of SOR-CMCI,"" ""ME support of SOR-SNPN-SI,"" and ""ME support of SOR-SNPN-SI-LS"" in the Nsoraf_SoR_Info service operation, informing the SOR-AF about the UE's capabilities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the trigger for the procedure described in Figure C.3.1 for steering UE in HPLMN or VPLMN after registration?,The procedure is triggered when the HPLMN UDM receives a new list of preferred PLMN/access technology combinations or a secured packet for a UE identified by SUPI from the SOR-AF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what scenario does the SOR-AF include SOR-CMCI in the secured packet provided to the HPLMN UDM?,The SOR-AF includes SOR-CMCI in the secured packet if it determines that the ME supports SOR-CMCI and the USIM of the indicated SUPI supports SOR-CMCI.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What does the SOR-AF do before providing the HPLMN UDM with a new list of preferred PLMN/access technology combinations?,"Before providing the new list, the SOR-AF can obtain user location information by triggering the unified location service exposure procedure based on operator policies or criteria.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How does the UE handle a USAT REFRESH command of type ""Steering of Roaming"" when no SOR-CMCI is included or the UE is configured with SOR-CMCI?","If no SOR-CMCI is included or the UE is configured with SOR-CMCI, the UE shall perform specific actions as defined in the procedure for steering of roaming in clause 4.4.6.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 When is Step 5 skipped in the procedure for providing a list of preferred PLMN/access technology combinations and SOR-CMCI after registration?,Step 5 is skipped if the UDM has not requested an acknowledgement from the UE in the DL NAS TRANSPORT message.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What does the UE do if the security check is not successful, and the UE is in automatic network selection mode, and the selected PLMN is a VPLMN?","The UE shall wait until it moves to idle mode or 5GMM-CONNECTED mode before attempting to obtain service on a higher priority PLMN, considering the current registered PLMN as lowest priority.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does the HPLMN UDM inform the SOR-AF about the successful delivery of the list of preferred PLMN/access technology combinations?,"The HPLMN UDM uses the Nsoraf_SoR_Info service operation, including the necessary indicators, to inform the SOR-AF about the successful delivery.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" What action does the UE take if the selected PLMN is the HPLMN, and the UE has an established emergency PDU session?"," The UE shall not perform the PLMN selection, regardless of whether it is in automatic or manual network selection mode.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 What is the role of the HPLMN UDM when the UE acknowledges successful security check of the received steering of roaming information?, The HPLMN UDM verifies the acknowledgement provided by the UE and stores or deletes indicators based on the information in the SOR transparent container.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what scenario does the UE release the current N1 NAS signalling connection and attempt to obtain service on a higher priority PLMN?," The UE releases the current N1 NAS signalling connection and attempts to obtain service on a higher priority PLMN if the security check is not successful, and the UE is in automatic network selection mode with no ongoing PDU sessions or services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of SOR-CMCI in the 5G control plane for roaming?, The purpose of SOR-CMCI (Steering of Roaming Control Mode Change Information) is to enable the Home Public Land Mobile Network (HPLMN) or subscribed Selected Public Land Mobile Network (SNPN) to control the timing of the User Equipment (UE) entering idle mode and performing higher-priority PLMN/access technology or SNPN selection during roaming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How is the SOR-CMCI configured and provided to the UE?, The HPLMN or subscribed SNPN may configure the SOR-CMCI in the UE and provide it over N1 NAS signalling. The SOR-CMCI received over N1 NAS signalling takes precedence over the SOR-CMCI stored in the non-volatile memory of the Mobile Equipment (ME) or stored in the User Identity Module (USIM). It can be provided in plain text or within a secured packet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What happens if the UE receives SOR information without SOR-CMCI or security check failure occurs?,"If the UE receives SOR information without SOR-CMCI or the security check of received SOR information fails, the UE shall use the stored SOR-CMCI in the non-volatile memory of the ME, if available. If no SOR-CMCI is stored, the UE uses the SOR-CMCI stored in the USIM, if available. The UE deletes the stored SOR-CMCI in the ME when certain conditions are met.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Describe the structure of SOR-CMCI rules.,"SOR-CMCI consists of rules, each with a criterion (PDU session attribute type, service type, SOR security check, or match all type) and a Tsor-cm timer value indicating the time the UE waits before releasing PDU sessions or services and entering idle mode. Rules include criteria such as DNN of the PDU session, S-NSSAI STT of the PDU session, S-NSSAI SST and SD of the PDU session, service types like IMS registration, MMTEL voice call, MMTEL video call, SMS over NAS or SMSoIP, SOR security check, and match all.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What exemptions exist for services during SOR-CMCI application?,"Emergency services are exempted from being forced to release related established PDU sessions and enter idle mode during SOR-CMCI application. Additionally, a UE configured with high priority access in the selected PLMN or SNPN considers all services and related established PDU sessions exempt from forced release during SOR-CMCI application.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does the UE apply SOR-CMCI during the SOR procedure?," During the SOR procedure, the UE applies SOR-CMCI by determining the time to release PDU sessions or services based on criteria such as security check status and matching rules. The UE starts Tsor-cm timers associated with specific criteria and stops or starts timers based on ongoing services. The UE also considers exemptions and prioritizes based on PLMN or SNPN selection mode.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What happens if the UE switches to manual network selection mode during SOR-CMCI application?,"If the UE switches to manual network selection mode during SOR-CMCI application, it shall stop any running Tsor-cm timers. In this case, the UE is not required to enter idle mode and perform the de-registration procedure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Describe the stage-2 flow for providing UE with SOR-CMCI after registration.," The stage-2 flow involves the SOR-AF triggering the UDM to update the UE with SOR-CMCI. The UDM notifies the AMF of user profile changes, and the AMF sends the steering of roaming information to the UE. The UE performs a security check, stores SOR-CMCI, and may acknowledge back to the AMF. The UDM informs the SOR-AF of successful delivery if required.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What triggers the initiation of the registration procedure according to the described stage-2 flow?," The registration procedure is initiated when the UE sends a REGISTRATION REQUEST message to the AMF, indicating ""initial registration,"" ""emergency registration,"" or ""mobility registration updating"" in the 5GS registration type Information Element (IE).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What service operation does the AMF invoke when it does not have subscription data for the UE during registration?,"In such a case, the AMF invokes the Nudm_SDM_Get service operation to the UDM to obtain, among other information, the Access and Mobility Subscription data for the UE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what scenarios does the UDM provide the steering of roaming information to the UE during initial registration?," The UDM provides the steering of roaming information to the UE during initial registration in a non-subscribed SNPN if the user subscription information indicates it. Otherwise, for registration on a subscribed SNPN, it depends on the UE's indication of support for SOR-SNPN-SI in the REGISTRATION REQUEST message.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What actions does the UDM take if the UE is registering in a non-subscribed SNPN, and the subscribed SNPN or HPLMN policy for the SOR-AF invocation is absent?"," The UDM obtains the available SOR-SNPN-SI, and if the ""ME support of SOR-CMCI"" or ""ME support of SOR-SNPN-SI-LS"" indicators are stored for the UE, it may obtain the corresponding information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does the UE handle the received steering of roaming information during registration?,"If the security check is successful, the UE sends the REGISTRATION COMPLETE message to the AMF with the received steering of roaming information. It may also perform actions such as SNPN selection based on priorities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under what conditions does the UE release the current N1 NAS signalling connection during SNPN selection?,"The UE releases the current N1 NAS signalling connection if it is in automatic network selection mode and needs to obtain service on a higher priority SNPN, as specified in clause 4.9.3 of the procedure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" What happens if the UE is configured to receive the steering of roaming information, but it is not provided in the REGISTRATION ACCEPT message?","If the steering of roaming information is not provided, the UE may take actions like releasing the current N1 NAS signalling connection and attempting to obtain service on a higher priority SNPN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 What is the role of the AMF in handling the steering of roaming information during the registration procedure?,"The AMF subscribes to changes in subscription data, including updates to the steering of roaming information, using the Nudm_SDM_Subscribe service operation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what circumstances does the UE acknowledge the successful security check of the received steering of roaming information?,"The UE acknowledges the successful security check if the UDM has requested an acknowledgement, and the UE has verified that the steering of roaming information has been provided by the subscribed SNPN or HPLMN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
